Name,Year,Month,Start Date,Link,Conference,Mentoring,Fellowship / Scholarship,Hackathon,Financial Support / Aid,POC,LGBTQ+,Asian,Black,LatinX,FirstGen
Grace Hopper Conference,2021,Septmeber,26,https://ghc.anitab.org/,Y,,,,Y,Y,,,,,
WECode,2021,March,6,https://www.harvardwecode.com/wecode-2021,Y,,,,N,,,,,,
Wonder Women Tech,2020,September,16,https://wonderwomentech.com/,Y,,,,Y,,,,,,
SHE Summit,2020,November,9,https://shesummit.com/,Y,,,,N,,,,,,
Debug 2020 Summit,2020,November,16,https://lesbianswhotech.org/,Y,,,,,,,,,,
EDIE WINDSOR CODING SCHOLARSHIP,2021,,,https://lesbianswhotech.org/codingscholarship/,,,Y,,,,Y,,,,
Women in Cyber Security,2021,September,8,https://www.wicys.org/,Y,,,,Y,,,,,,
Women in IT ,,,,,Y,,,,,,,,,,
Women in DataScience,2020,March,2,https://www.widsconference.org/,Y,,,Y,,,,,,,
Women of Silicon Valley,2020,November,16,https://www.womenofsiliconvalley.com/,Y,,,,,,,,,,
Women in Tech Summit,2021,December,,https://womenintechsummit.net/,Y,,,,,,,,,,
Hack Holyoke,2020,November,7,https://www.facebook.com/hackholyoke/,,,,Y,Y,,,,,,
TechTogether,Multiple,,,https://techtogether.io/index,,,,Y,,,,,,,
WHACK,2020,November ,7,https://wellesleyhacks.org/,,,,Y,Y,,,,,,
Athena Hacks,2021,March,6,https://athenahacks.com/,,,,Y,Y,,,,,,
Technica,2020,October,24,https://gotechnica.org/,,,,Y,Y,,Y,,,,
Spectra,2020,August,28,https://www.sospectra.com/,,,,Y,Y,,Y,,,,
Tech Rebalanced,2021,March,20,https://www.techrebalanced.org/,,,,Y,,Y,,,,,
Pearl Hacks,2021,Feb,19,https://pearlhacks.com/,,,,Y,,,Y,,,,
Elle Hacks,2021,January,15,https://ellehacks.com/,,,,Y,,,,,,,
TecHacks,2020,August,14,https://techacks.ml/?fbclid=IwAR3-NmSk3tatYKqFAxgOMkbQKf-IDWAySIpcgdhTcYY734I55KqK3of__Dk,,,,Y,Y,,,,,,
SharkHack,2021,March,26,https://sharkhack.simmons.edu/index.html,,,,Y,Y,,,,,,
Hackher413,2021,February,13,https://www.hackher413.com/,,,,Y,Y,,Y,,,,
WEHack,2020,October,10,https://wehackutd.com/,,,,Y,Y,,Y,,,,
Columbia DivHacks,2020,October,23,http://columbiadivhacks.com/,,,,Y,Y,Y,Y,,,,
Creatica,2020,November ,13,https://www.creatica.io/,,,,Y,Y,,,,,,
RoseHack,2021,January,16,https://rosehack.com/,,,,Y,Y,,,,,,
SuperPosition,2021,January,16,https://superposition.tech/,Y,,,Y,Y,,Y,,,,
WicHacks,2021,February,27,https://wichacks.io/,,,,Y,Y,,Y,,,,
Rewriting The Code,Multiple,,,https://rewritingthecode.org/,,Y,Y,,,,,,,,
Black Wings Hack,2021,February,5,https://rewritingthecode.org/black-wings-hacks/,,,,Y,Y,Y,Y,,Y,,
Black Wings,Multiple,,,https://rewritingthecode.org/black-wings/,,Y,,,,,,,Y,,
Latinas de RTC,Multiple,,,https://rewritingthecode.org/latinas-de-rtc/,,Y,,,,,,,,Y,
WEST Mentorship Program,Multiple,,,https://www.joinwest.org/#women-make-tech-better,,Y,,,,Y,Y,,,,
Virginia Heinlein Memorial Scholarship,2020,April,1,https://www.heinleinsociety.org/scholarship-program/,,,Y,,,,,,,,
Generation Google Scholarship,2021,December,4,https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship/,,,Y,,,,,,,,
Google Conference Travel Scholarship,Multiple,,,https://buildyourfuture.withgoogle.com/scholarships/google-travel-scholarships/,,,,,,,,,,,
BHW Women in STEM Academic Scholarship,2021,April,15,https://thebhwgroup.com/scholarship,,,Y,,,,,,,,
Science Ambassador Scholarship,2022,,,https://www.scienceambassadorscholarship.org/#faq,,,Y,,,,,,,,
CyberCorps Scholarship for Service,,,,https://www.sfs.opm.gov/StudDefault.aspx,,,Y,,,,,,,,
Microsoft Scholarship,2021,,,https://careers.microsoft.com/students/us/en/usscholarshipprogram,,,Y,,,,,,,,
Society of Hispanic Professional Engineers Conference,Multiple,,,https://www.shpe.org/events/nc2020/programs/conferences/tech-and-innovation,Y,,,,,,,,,Y,
National Society of Black Engineers,Multiple,,,https://www.nsbe.org/home.aspx,Y,,Y,,,,,,Y,,
Tapia Conference,2020,September,16,https://tapiaconference.cmd-it.org/,Y,Y,,,,Y,,,,,
Palantir Women in Tech Scholarship,2021,March,22,https://www.palantir.com/students/scholarship/wit-north-america/,,,Y,,,,,,,,
ABC Humane Wildlife Women in STEM Academic Scholarship,2021,July,1,https://abcwildlife.com/about-us/women-in-stem-scholarship/,,,,,,,,,,,
Girls in STEM Scholarship,2020,December,31,https://girlswhostem.com/girls-in-stem-scholarship/,,,Y,,,,,,,,